,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,0.00066401062417,0.000489476260401,0.00414446417999,0.0339702760085,0.297297297297
10^4-10^5,,0.000544365813827,0.00464807436919,0.0166421928536,0.0941385435169,0.522292993631,0.513513513514
10^3-10^4,,0.00544365813827,0.0424966799469,0.193832599119,0.61397276495,0.377919320594,0.135135135135
10^2-10^3,,0.0413718018508,0.255644090305,0.54919236417,0.252812314979,0.0552016985138,0.0540540540541
10^1-10^2,,0.163309744148,0.458831341301,0.197258932942,0.0325636471285,0.00849256900212,
submicroscopic,,0.789330430049,0.206507304117,0.0401370533529,0.00177619893428,0.00212314225053,
truezero,1.0,,0.031208499336,0.00244738130201,0.000592066311427,,
