,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00799200799201,,,,,
10^3-10^4,,0.180819180819,0.0408719346049,0.0261044176707,0.0814814814815,,
10^2-10^3,,0.307692307692,0.185286103542,0.222891566265,0.503703703704,0.785714285714,
10^1-10^2,,0.224775224775,0.340599455041,0.491967871486,0.314814814815,0.214285714286,
submicroscopic,,0.171828171828,0.234332425068,0.16265060241,0.062962962963,,
truezero,1.0,0.106893106893,0.198910081744,0.0963855421687,0.037037037037,,
