,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.000616522811344,,0.00211416490486,0.031076581576,0.446153846154,
10^3-10^4,,0.00369913686806,0.0269541778976,0.154334038055,0.663706992231,0.476923076923,
10^2-10^3,,0.037607891492,0.242587601078,0.579985905567,0.273029966704,0.0769230769231,
10^1-10^2,,0.159062885327,0.466307277628,0.216349541931,0.0288568257492,,
submicroscopic,,0.799013563502,0.229110512129,0.0443974630021,0.00221975582686,,
truezero,1.0,,0.0350404312668,0.00281888653982,0.00110987791343,,
