,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00571065989848,0.00577557755776,0.00410076157001,0.015493867011,0.0589622641509,0.172413793103
10^3-10^4,,0.0456852791878,0.0701320132013,0.144112478032,0.303421562298,0.379716981132,0.206896551724
10^2-10^3,,0.0958121827411,0.186468646865,0.314001171646,0.348612007747,0.26179245283,0.275862068966
10^1-10^2,,0.179568527919,0.233498349835,0.22964264792,0.173660426081,0.117924528302,0.0344827586207
submicroscopic,,0.488578680203,0.347359735974,0.236086701816,0.132343447385,0.132075471698,0.206896551724
truezero,1.0,0.184644670051,0.156765676568,0.0720562390158,0.0264686894771,0.0495283018868,0.103448275862
