,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,,,,0.0169491525424,,
10^3-10^4,,,0.00174723354688,0.0362903225806,0.169491525424,0.5,
10^2-10^3,,0.015494636472,0.0413511939429,0.345430107527,0.559322033898,0.5,
10^1-10^2,,0.219308700834,0.438555620268,0.448924731183,0.203389830508,,
submicroscopic,,0.573301549464,0.371578334304,0.103494623656,0.0338983050847,,
truezero,1.0,0.19189511323,0.146767617938,0.0658602150538,0.0169491525424,,
