,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,,0.00448430493274,,0.0343137254902,0.545454545455,
10^3-10^4,,0.0150905432596,0.085201793722,0.228682170543,0.779411764706,0.454545454545,
10^2-10^3,,0.0684104627767,0.385650224215,0.658914728682,0.18137254902,,
10^1-10^2,,0.167002012072,0.390134529148,0.100775193798,0.00490196078431,,
submicroscopic,,0.741448692153,0.112107623318,0.0116279069767,,,
truezero,1.0,0.00804828973843,0.0224215246637,,,,
