,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00188857412653,0.00516795865633,0.004,0.0185873605948,0.25,
10^3-10^4,,0.0538243626062,0.0723514211886,0.106,0.557620817844,0.666666666667,
10^2-10^3,,0.122757318225,0.232558139535,0.578,0.397769516729,0.0833333333333,
10^1-10^2,,0.219074598678,0.470284237726,0.262,0.0148698884758,,
submicroscopic,,0.576959395656,0.173126614987,0.04,0.00371747211896,,
truezero,1.0,0.0254957507082,0.046511627907,0.01,0.00743494423792,,
