,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,0.002849002849,,,,
10^4-10^5,,0.00575043128235,0.0334757834758,0.0170984455959,0.0375529981829,0.1,0.258064516129
10^3-10^4,,0.0517538815411,0.102564102564,0.20725388601,0.367050272562,0.435555555556,0.354838709677
10^2-10^3,,0.106958021852,0.232193732194,0.370466321244,0.339188370684,0.253333333333,0.129032258065
10^1-10^2,,0.190339275446,0.281339031339,0.222279792746,0.142337976984,0.0933333333333,
submicroscopic,,0.579068430132,0.25641025641,0.144041450777,0.102967898243,0.104444444444,0.258064516129
truezero,1.0,0.066129959747,0.0911680911681,0.0388601036269,0.0109024833434,0.0133333333333,
