,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,,,,0.00593471810089,,
10^3-10^4,,0.0132583366814,,0.0215827338129,0.0949554896142,,
10^2-10^3,,0.107673764564,0.0471175166297,0.250770811922,0.290801186944,0.357142857143,
10^1-10^2,,0.265970269184,0.377494456763,0.39260020555,0.353115727003,0.5,
submicroscopic,,0.367215749297,0.349223946785,0.211716341213,0.181008902077,0.142857142857,
truezero,1.0,0.245881880273,0.226164079823,0.123329907503,0.0741839762611,,
