,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00416193719258,0.000504286434695,0.000959692898273,0.012084592145,,
10^3-10^4,,0.0646992054484,0.018154311649,0.0681381957774,0.232628398792,0.428571428571,
10^2-10^3,,0.100643208475,0.0751386787695,0.427063339731,0.583081570997,0.5,
10^1-10^2,,0.231933409005,0.49520927887,0.409788867562,0.132930513595,0.0714285714286,
submicroscopic,,0.494135452138,0.306606152295,0.0595009596929,0.0211480362538,,
truezero,1.0,0.104426787741,0.104387291982,0.0345489443378,0.0181268882175,,
