,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,0.0160857908847,0.0100840336134,0.0065703022339,0.0179028132992,0.0810810810811
10^4-10^5,,0.02,0.155495978552,0.0991596638655,0.132720105125,0.27621483376,0.324324324324
10^3-10^4,,0.085,0.201072386059,0.324369747899,0.417871222076,0.386189258312,0.297297297297
10^2-10^3,,0.13,0.222520107239,0.314285714286,0.298291721419,0.202046035806,0.216216216216
10^1-10^2,,0.235,0.209115281501,0.157983193277,0.0932982917214,0.0639386189258,0.027027027027
submicroscopic,,0.505,0.155495978552,0.0806722689076,0.0486202365309,0.0434782608696,0.0540540540541
truezero,1.0,0.025,0.0402144772118,0.0134453781513,0.00262812089356,0.0102301790281,
