,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,,,,,,
10^3-10^4,,0.0335365853659,,0.0154525386313,0.0749063670412,,
10^2-10^3,,0.261178861789,0.12,0.12582781457,0.258426966292,0.25,
10^1-10^2,,0.332317073171,0.314285714286,0.337748344371,0.355805243446,0.583333333333,
submicroscopic,,0.168699186992,0.191428571429,0.302428256071,0.228464419476,0.166666666667,
truezero,1.0,0.204268292683,0.374285714286,0.218543046358,0.0823970037453,,
