,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,,0.003663003663,0.00843288826423,0.0386363636364,0.131147540984,
10^3-10^4,,0.0233438485804,0.0732600732601,0.189739985945,0.426136363636,0.524590163934,
10^2-10^3,,0.0876971608833,0.25641025641,0.408292340126,0.352272727273,0.245901639344,
10^1-10^2,,0.171608832808,0.35347985348,0.245256500351,0.123863636364,0.0655737704918,
submicroscopic,,0.691482649842,0.244505494505,0.122276879831,0.0556818181818,0.0327868852459,
truezero,1.0,0.0258675078864,0.0686813186813,0.0260014054814,0.00340909090909,,
