,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,,,,0.0240384615385,0.818181818182,
10^3-10^4,,0.00302114803625,0.045045045045,0.19391634981,0.841346153846,0.181818181818,
10^2-10^3,,0.0382678751259,0.378378378378,0.695817490494,0.134615384615,,
10^1-10^2,,0.134944612286,0.436936936937,0.0988593155894,,,
submicroscopic,,0.81973816717,0.117117117117,0.0114068441065,,,
truezero,1.0,0.00402819738167,0.0225225225225,,,,
