,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00875656742557,0.00598354525056,0.0048596112311,0.020706455542,0.0856481481481,0.25
10^3-10^4,,0.045534150613,0.0905011219147,0.198164146868,0.341047503045,0.4375,0.3125
10^2-10^3,,0.127845884413,0.228122662678,0.323974082073,0.358708891596,0.226851851852,0.0625
10^1-10^2,,0.201401050788,0.246821241586,0.22192224622,0.147381242387,0.115740740741,0.03125
submicroscopic,,0.512551079977,0.312640239342,0.197624190065,0.116321559074,0.115740740741,0.34375
truezero,1.0,0.103911266783,0.11593118923,0.0534557235421,0.0158343483557,0.0185185185185,
