,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00397877984085,0.0030737704918,0.00160384923817,0.0204081632653,0.0923076923077,
10^3-10^4,,0.0384615384615,0.0512295081967,0.14915797915,0.332199546485,0.507692307692,
10^2-10^3,,0.120026525199,0.193647540984,0.327185244587,0.365079365079,0.138461538462,
10^1-10^2,,0.193633952255,0.268442622951,0.242983159583,0.15306122449,0.123076923077,
submicroscopic,,0.539787798408,0.34631147541,0.218123496391,0.114512471655,0.138461538462,
truezero,1.0,0.104111405836,0.137295081967,0.0609462710505,0.0147392290249,,
