,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.000738552437223,0.000998003992016,0.00189035916824,0.0208955223881,0.214285714286,
10^3-10^4,,0.0210487444609,0.0144710578842,0.0708884688091,0.546268656716,0.714285714286,
10^2-10^3,,0.051329394387,0.0853293413174,0.588846880907,0.411940298507,0.0714285714286,
10^1-10^2,,0.214180206795,0.574351297405,0.29584120983,0.0119402985075,,
submicroscopic,,0.663589364845,0.261976047904,0.0330812854442,0.00298507462687,,
truezero,1.0,0.0491137370753,0.062874251497,0.00945179584121,0.00597014925373,,
