,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00202224469161,0.00925925925926,0.0078431372549,0.0248756218905,0.25,
10^3-10^4,,0.0576339737108,0.12962962963,0.207843137255,0.626865671642,0.666666666667,
10^2-10^3,,0.126390293225,0.37037037037,0.627450980392,0.323383084577,0.0833333333333,
10^1-10^2,,0.205257836198,0.37037037037,0.129411764706,0.0199004975124,,
submicroscopic,,0.589484327604,0.087962962963,0.0274509803922,0.00497512437811,,
truezero,1.0,0.0192113245703,0.0324074074074,,,,
