,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.0267379679144,0.0215384615385,0.00550458715596,0.017094017094,0.0580110497238,0.172413793103
10^3-10^4,,0.106951871658,0.169230769231,0.225688073394,0.324786324786,0.372928176796,0.206896551724
10^2-10^3,,0.149732620321,0.270769230769,0.361467889908,0.316239316239,0.243093922652,0.275862068966
10^1-10^2,,0.213903743316,0.196923076923,0.196330275229,0.148148148148,0.129834254144,0.0344827586207
submicroscopic,,0.347593582888,0.261538461538,0.165137614679,0.148148148148,0.138121546961,0.206896551724
truezero,1.0,0.155080213904,0.08,0.045871559633,0.045584045584,0.0580110497238,0.103448275862
