,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00305110602593,,,0.00589970501475,,
10^3-10^4,,0.0690312738368,0.00931677018634,0.0387596899225,0.115044247788,0.0625,
10^2-10^3,,0.126239511823,0.0678053830228,0.328488372093,0.519174041298,0.75,
10^1-10^2,,0.224637681159,0.434265010352,0.456395348837,0.277286135693,0.1875,
submicroscopic,,0.423340961098,0.347308488613,0.112403100775,0.0530973451327,,
truezero,1.0,0.153699466056,0.141304347826,0.0639534883721,0.0294985250737,,
