,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00261096605744,0.0019436345967,0.0052950075643,0.0227790432802,0.102941176471,
10^3-10^4,,0.0385117493473,0.069970845481,0.165658093797,0.363325740319,0.470588235294,
10^2-10^3,,0.105744125326,0.232264334305,0.378214826021,0.342824601367,0.205882352941,
10^1-10^2,,0.180809399478,0.305150631681,0.246596066566,0.151480637813,0.102941176471,
submicroscopic,,0.609660574413,0.281827016521,0.156580937973,0.109339407745,0.117647058824,
truezero,1.0,0.0626631853786,0.108843537415,0.0476550680787,0.0102505694761,,
