,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,0.0026455026455,0.00165562913907,0.00913838120104,0.039603960396,0.297297297297
10^4-10^5,,,0.0185185185185,0.0513245033113,0.169712793734,0.537128712871,0.513513513514
10^3-10^4,,0.0196078431373,0.0899470899471,0.283112582781,0.553524804178,0.358910891089,0.135135135135
10^2-10^3,,0.0735294117647,0.291005291005,0.476821192053,0.228459530026,0.0519801980198,0.0540540540541
10^1-10^2,,0.196078431373,0.436507936508,0.155629139073,0.0378590078329,0.00990099009901,
submicroscopic,,0.710784313725,0.142857142857,0.0298013245033,0.00130548302872,0.00247524752475,
truezero,1.0,,0.0185185185185,0.00165562913907,,,
