,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.0114702815433,0.00462962962963,0.003861003861,0.010101010101,,
10^3-10^4,,0.178310740355,0.148148148148,0.166023166023,0.247474747475,0.384615384615,
10^2-10^3,,0.256517205422,0.310185185185,0.455598455598,0.570707070707,0.538461538462,
10^1-10^2,,0.252346193952,0.342592592593,0.320463320463,0.121212121212,0.0769230769231,
submicroscopic,,0.251303441084,0.125,0.0540540540541,0.0353535353535,,
truezero,1.0,0.0500521376434,0.0694444444444,,0.0151515151515,,
