,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,0.00405131667792,0.00293973542381,0.00300480769231,0.0154185022026,0.0810810810811
10^4-10^5,,0.00222593210907,0.0418636056718,0.0352768250857,0.0817307692308,0.25550660793,0.324324324324
10^3-10^4,,0.0306065664997,0.106009453072,0.229789318961,0.424278846154,0.407488986784,0.297297297297
10^2-10^3,,0.0923761825264,0.247805536799,0.380695737384,0.326923076923,0.20704845815,0.216216216216
10^1-10^2,,0.17918753478,0.315327481431,0.219500244978,0.108774038462,0.0638766519824,0.027027027027
submicroscopic,,0.67000556483,0.222822417286,0.109750122489,0.0522836538462,0.0418502202643,0.0540540540541
truezero,1.0,0.0255982192543,0.0621201890614,0.0220480156786,0.00300480769231,0.00881057268722,
