,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.0463917525773,0.014367816092,0.0119453924915,0.0216802168022,0.0849315068493,0.25
10^3-10^4,,0.0979381443299,0.201149425287,0.303754266212,0.350948509485,0.424657534247,0.3125
10^2-10^3,,0.190721649485,0.318965517241,0.310580204778,0.353658536585,0.241095890411,0.0625
10^1-10^2,,0.252577319588,0.189655172414,0.175767918089,0.138211382114,0.115068493151,0.03125
submicroscopic,,0.30412371134,0.224137931034,0.158703071672,0.117886178862,0.112328767123,0.34375
truezero,1.0,0.10824742268,0.051724137931,0.0392491467577,0.0176151761518,0.0219178082192,
