,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,0.0110192837466,,,,
10^4-10^5,,0.0255102040816,0.123966942149,0.044142614601,0.0531914893617,0.1,0.258064516129
10^3-10^4,,0.147959183673,0.192837465565,0.300509337861,0.373670212766,0.426315789474,0.354838709677
10^2-10^3,,0.122448979592,0.228650137741,0.34974533107,0.331117021277,0.263157894737,0.129032258065
10^1-10^2,,0.265306122449,0.217630853994,0.166383701188,0.134308510638,0.0921052631579,
submicroscopic,,0.341836734694,0.187327823691,0.118845500849,0.0957446808511,0.102631578947,0.258064516129
truezero,1.0,0.0969387755102,0.0385674931129,0.0203735144312,0.0119680851064,0.0157894736842,
