,truezero,submicroscopic,10^1-10^2,10^2-10^3,10^3-10^4,10^4-10^5,10^5-10^6
10^5-10^6,,,,,,,
10^4-10^5,,0.00290486564996,,0.00349344978166,0.0121212121212,0.0666666666667,
10^3-10^4,,0.0355846042121,0.0343249427918,0.102183406114,0.286060606061,0.416666666667,
10^2-10^3,,0.0885984023239,0.155606407323,0.290829694323,0.374545454545,0.366666666667,
10^1-10^2,,0.173565722585,0.244851258581,0.245414847162,0.196363636364,0.05,
submicroscopic,,0.509803921569,0.382151029748,0.272489082969,0.12,0.1,
truezero,1.0,0.18954248366,0.183066361556,0.0855895196507,0.0109090909091,,
